***********************************************
0 :-11.381593+0.000000i   -40.635616+0.000000i
   1 :-8.549603+-0.000000i   -36.327393+0.000000i
   2 :-13.410275+0.000000i   -30.458834+0.000000i
   3 :-24.248859+0.000000i   -23.118229+0.000000i
   4 :-37.799866+0.000000i   -14.327070+0.000000i
   5 :-49.928696+0.000000i   -4.190194+-0.000000i
   6 :-56.501068+0.000000i   6.941542+0.000000i
   7 :-54.267326+0.000000i   18.354540+0.000000i
   8 :-41.584717+0.000000i   28.950573+-0.000000i
   9 :-18.831820+-0.000000i   37.345383+0.000000i
   10 :11.570582+-0.000000i   42.081417+0.000000i
   11 :45.540615+-0.000000i   41.916538+-0.000000i
   12 :78.047668+-0.000000i   36.126076+-0.000000i
   13 :104.020012+-0.000000i   24.746141+0.000000i
   14 :119.272942+-0.000000i   8.693429+-0.000000i
   15 :121.278954+-0.000000i   -10.279127+-0.000000i
   16 :109.632034+0.000000i   -29.796833+-0.000000i
   17 :86.118042+0.000000i   -47.215755+-0.000000i
   18 :54.380013+0.000000i   -60.049152+0.000000i
   19 :19.245779+-0.000000i   -66.385071+0.000000i
   20 :-14.150403+0.000000i   -65.211876+0.000000i
   21 :-41.281715+0.000000i   -56.586491+-0.000000i
   22 :-59.003620+-0.000000i   -41.612309+0.000000i
   23 :-66.044777+0.000000i   -22.233889+0.000000i
   24 :-63.127113+0.000000i   -0.892650+0.000000i
   25 :-52.702011+-0.000000i   19.884382+0.000000i
   26 :-38.365353+-0.000000i   37.879414+0.000000i
   27 :-24.075487+0.000000i   51.487644+-0.000000i
   28 :-13.334300+-0.000000i   59.877907+-0.000000i
   29 :-8.495077+0.000000i   62.993244+-0.000000i
   30 :-10.331326+0.000000i   61.410496+-0.000000i
   31 :-17.945280+0.000000i   56.107536+-0.000000i
   32 :-29.024494+0.000000i   48.203709+-0.000000i
   33 :-40.384426+0.000000i   38.737782+-0.000000i
   34 :-48.678509+-0.000000i   28.532225+-0.000000i
   35 :-51.125458+-0.000000i   18.164642+-0.000000i
   36 :-46.104275+-0.000000i   8.035305+0.000000i
   37 :-33.496925+-0.000000i   -1.506061+0.000000i
   38 :-14.713498+0.000000i   -10.028820+0.000000i
   39 :7.598103+-0.000000i   -16.938015+-0.000000i
   40 :30.092495+0.000000i   -21.479204+-0.000000i
   41 :49.398438+0.000000i   -22.843161+-0.000000i
   42 :62.782021+-0.000000i   -20.353113+-0.000000i
   43 :68.661880+-0.000000i   -13.688859+0.000000i
   44 :66.874504+0.000000i   -3.086395+-0.000000i
   45 :58.638851+0.000000i   10.548336+-0.000000i
   46 :46.235317+0.000000i   25.658276+0.000000i
   47 :32.473930+0.000000i   40.202263+-0.000000i
   48 :20.068876+0.000000i   51.953239+-0.000000i
   49 :11.056536+0.000000i   58.874710+0.000000i
   50 :6.381356+-0.000000i   59.502129+0.000000i
   51 :5.736809+-0.000000i   53.248482+-0.000000i
   52 :7.693513+-0.000000i   40.565411+0.000000i
   53 :10.082947+-0.000000i   22.919136+0.000000i
   54 :10.550543+-0.000000i   2.579738+0.000000i
   55 :7.154756+0.000000i   -17.740816+0.000000i
   56 :-1.121602+-0.000000i   -35.330967+0.000000i
   57 :-14.063281+-0.000000i   -47.918697+0.000000i
   58 :-30.189159+0.000000i   -54.021175+-0.000000i
   59 :-47.007236+0.000000i   -53.142818+0.000000i
   60 :-61.507015+0.000000i   -45.789574+-0.000000i
   61 :-70.788818+0.000000i   -33.308723+-0.000000i
   62 :-72.694870+0.000000i   -17.598169+0.000000i
   63 :-66.307152+-0.000000i   -0.753400+0.000000i
   64 :-52.200253+-0.000000i   15.270937+0.000000i
   65 :-32.389214+0.000000i   28.918449+-0.000000i
   66 :-9.974930+0.000000i   39.166126+-0.000000i
   67 :11.446752+-0.000000i   45.527756+-0.000000i
   68 :28.491625+-0.000000i   47.948566+-0.000000i
   69 :38.667496+-0.000000i   46.640476+-0.000000i
   70 :40.883221+0.000000i   41.915447+-0.000000i
   71 :35.677483+-0.000000i   34.069950+-0.000000i
   72 :25.113371+-0.000000i   23.354153+-0.000000i
   73 :12.353777+0.000000i   10.029758+0.000000i
   74 :0.998781+-0.000000i   -5.507670+-0.000000i
   75 :-5.682820+0.000000i   -22.589714+-0.000000i
   76 :-5.469322+0.000000i   -40.173882+0.000000i
   77 :2.298680+0.000000i   -56.831890+0.000000i
   78 :16.516663+-0.000000i   -70.854034+0.000000i
   79 :34.477898+0.000000i   -80.468498+0.000000i
   80 :52.373386+0.000000i   -84.139336+0.000000i
   81 :66.038734+0.000000i   -80.885094+-0.000000i
   82 :71.801552+0.000000i   -70.543518+0.000000i
   83 :67.259445+-0.000000i   -53.916134+0.000000i
   84 :51.831951+0.000000i   -32.746269+0.000000i
   85 :26.968666+-0.000000i   -9.519124+-0.000000i
   86 :-4.037075+-0.000000i   12.890306+-0.000000i
   87 :-36.598087+0.000000i   31.657997+-0.000000i
   88 :-65.650276+0.000000i   44.461105+-0.000000i
   89 :-86.579002+0.000000i   49.848305+0.000000i
   90 :-96.078171+-0.000000i   47.459534+-0.000000i
   91 :-92.772377+0.000000i   38.053391+-0.000000i
   92 :-77.482445+0.000000i   23.341120+-0.000000i
   93 :-53.078041+0.000000i   5.664349+-0.000000i
   94 :-23.943447+0.000000i   -12.415736+0.000000i
   95 :4.839435+-0.000000i   -28.532541+-0.000000i
   96 :28.437271+-0.000000i   -40.854729+0.000000i
   97 :43.157047+-0.000000i   -48.293144+-0.000000i
   98 :47.110588+0.000000i   -50.547623+-0.000000i
